distribution,time,sheets,id,friends,surplus,purchased,agents,full_agents,stage
exponential,3671,200,4,0,3472,,5,5,buy
uniform,592,100,2,13,539,,20,20,buy
exponential,105,50,34,56,77,,50,3,exchange
exponential,223,20,29,35,210,,50,44,buy
uniform,136,100,24,34,79,,30,10,buy
exponential,671,50,15,16,642,,20,18,buy
uniform,139,100,2,15,84,,30,11,exchange
exponential,271,50,17,37,245,,30,15,buy
exponential,105,50,34,56,77,,50,3,exchange
exponential,151,50,20,29,119,,30,7,buy
exponential,235,20,43,63,225,,50,45,buy
exponential,108,50,13,51,80,,50,4,exchange
exponential,1819,100,6,1,1735,,10,10,buy
exponential,248,20,27,53,236,,50,46,buy
exponential,108,50,13,51,80,,50,4,exchange
uniform,153,100,5,26,99,,30,13,exchange
uniform,154,100,20,29,103,,30,14,exchange
exponential,293,50,25,22,271,,30,16,buy
uniform,155,100,9,34,103,,30,15,exchange
uniform,157,100,29,14,103,,30,18,exchange
uniform,159,100,25,22,103,,30,20,exchange
exponential,113,50,0,71,83,,50,5,exchange
exponential,3358,200,1,2,3159,,5,4,buy
exponential,171,50,28,28,145,,30,8,buy
exponential,628,200,7,9,500,,10,1,exchange
exponential,793,50,9,11,758,,20,19,buy
exponential,113,50,0,71,83,,50,5,exchange
uniform,170,100,16,29,117,,30,21,buy
exponential,275,20,26,52,265,,50,47,buy
exponential,628,200,7,9,500,,10,1,exchange
exponential,316,50,9,34,290,,30,17,buy
exponential,3671,200,4,0,3472,,5,5,buy
uniform,173,100,4,28,112,,30,22,exchange
uniform,174,100,27,35,123,,30,24,exchange
exponential,184,50,21,22,156,,30,10,exchange
uniform,176,100,26,20,123,,30,25,buy
uniform,287,100,23,18,229,,30,28,buy
uniform,186,100,12,11,130,,30,26,buy
exponential,334,50,14,17,299,,30,18,buy
exponential,121,50,22,25,91,,50,6,exchange
uniform,108,100,15,52,52,,50,1,buy
exponential,685,200,5,14,583,,10,2,buy
uniform,201,100,18,27,145,,30,27,exchange
exponential,123,50,37,56,94,,50,7,buy
exponential,121,50,22,25,91,,50,6,exchange
exponential,685,200,5,14,583,,10,2,buy
exponential,124,50,33,67,92,,50,8,exchange
exponential,966,50,5,25,940,,20,20,buy
uniform,108,100,15,52,52,,50,1,buy
exponential,215,50,19,48,184,,30,11,buy
uniform,111,100,4,65,56,,50,2,exchange
exponential,123,50,37,56,94,,50,7,buy
exponential,721,200,9,9,599,,10,3,exchange
exponential,322,20,7,61,313,,50,48,buy
exponential,323,20,11,34,313,,50,49,buy
exponential,124,50,33,67,92,,50,8,exchange
uniform,113,100,0,71,60,,50,3,exchange
exponential,721,200,9,9,599,,10,3,exchange
uniform,111,100,4,65,56,,50,2,exchange
uniform,114,100,37,56,63,,50,4,exchange
exponential,334,20,17,60,321,,50,50,buy
uniform,115,100,49,67,65,,50,5,exchange
exponential,230,50,26,20,203,,30,12,buy
uniform,116,100,19,33,63,,50,9,exchange
uniform,113,100,0,71,60,,50,3,exchange
exponential,32,20,8,22,20,,20,1,exchange
exponential,34,20,1,24,27,,20,3,exchange
uniform,117,100,39,76,62,,50,10,exchange
uniform,114,100,37,56,63,,50,4,exchange
exponential,43,20,14,21,34,,20,5,exchange
exponential,49,20,7,17,36,,20,7,exchange
uniform,118,100,18,48,63,,50,11,exchange
exponential,55,20,12,14,45,,20,9,exchange
exponential,56,20,18,22,42,,20,10,buy
exponential,59,20,10,4,44,,20,12,exchange
exponential,66,20,16,13,52,,20,13,buy
uniform,115,100,49,67,65,,50,5,exchange
exponential,240,50,24,34,211,,30,13,buy
exponential,87,20,13,23,74,,20,14,buy
exponential,92,20,19,13,77,,20,15,buy
exponential,93,20,17,9,81,,20,16,buy
exponential,97,20,11,19,85,,20,17,buy
uniform,116,100,19,33,63,,50,9,exchange
uniform,120,100,10,53,75,,50,12,exchange
uniform,117,100,39,76,62,,50,10,exchange
uniform,121,100,7,61,76,,50,13,exchange
uniform,118,100,18,48,63,,50,11,exchange
exponential,136,50,19,33,113,,50,9,exchange
exponential,255,50,10,41,224,,30,14,buy
exponential,824,200,0,9,709,,10,4,exchange
uniform,123,100,2,57,65,,50,14,exchange
exponential,215,20,5,25,204,,20,18,buy
uniform,120,100,10,53,75,,50,12,exchange
exponential,824,200,0,9,709,,10,4,exchange
exponential,136,50,19,33,113,,50,9,exchange
uniform,124,100,26,52,73,,50,16,exchange
uniform,121,100,7,61,76,,50,13,exchange
uniform,125,100,24,72,69,,50,17,exchange
exponential,140,50,27,53,111,,50,10,buy
exponential,300,20,2,13,286,,20,19,buy
uniform,126,100,48,74,76,,50,20,exchange
uniform,123,100,2,57,65,,50,14,exchange
exponential,271,50,17,37,245,,30,15,buy
uniform,124,100,26,52,73,,50,16,exchange
uniform,287,100,23,18,229,,30,28,buy
uniform,125,100,24,72,69,,50,17,exchange
exponential,140,50,27,53,111,,50,10,buy
uniform,126,100,48,74,76,,50,20,exchange
exponential,422,20,9,11,408,,20,20,buy
exponential,465,50,16,29,437,,30,19,buy
uniform,131,100,38,64,79,,50,22,exchange
exponential,293,50,25,22,271,,30,16,buy
uniform,133,100,32,54,81,,50,24,exchange
uniform,131,100,38,64,79,,50,22,exchange
exponential,316,50,9,34,290,,30,17,buy
uniform,133,100,32,54,81,,50,24,exchange
uniform,136,100,42,66,87,,50,26,exchange
uniform,137,100,23,44,86,,50,29,exchange
exponential,334,50,14,17,299,,30,18,buy
uniform,136,100,42,66,87,,50,26,exchange
uniform,137,100,23,44,86,,50,29,exchange
exponential,997,200,8,9,879,,10,5,buy
uniform,140,100,40,56,90,,50,31,exchange
exponential,517,50,29,14,483,,30,20,buy
uniform,141,100,13,51,94,,50,33,exchange
exponential,997,200,8,9,879,,10,5,buy
uniform,140,100,40,56,90,,50,31,exchange
exponential,157,50,41,55,129,,50,11,exchange
uniform,141,100,13,51,94,,50,33,exchange
uniform,144,100,46,44,101,,50,35,exchange
exponential,157,50,41,55,129,,50,11,exchange
uniform,144,100,46,44,101,,50,35,exchange
