distribution,time,sheets,id,friends,surplus,purchased,agents,full_agents,stage
exponential,124,50,33,67,92,125,50,8,exchange
exponential,32,20,8,22,20,33,20,1,exchange
exponential,34,20,1,24,27,35,20,3,exchange
exponential,43,20,14,21,34,44,20,5,exchange
uniform,115,100,49,67,65,116,50,5,exchange
uniform,114,100,37,56,63,115,50,4,exchange
exponential,49,20,7,17,36,50,20,7,exchange
exponential,55,20,12,14,45,56,20,9,exchange
exponential,56,20,18,22,42,57,20,10,buy
exponential,59,20,10,4,44,60,20,12,exchange
exponential,66,20,16,13,52,67,20,13,buy
uniform,116,100,19,33,63,117,50,9,exchange
exponential,87,20,13,23,74,88,20,14,buy
exponential,92,20,19,13,77,93,20,15,buy
exponential,93,20,17,9,81,94,20,16,buy
exponential,97,20,11,19,85,98,20,17,buy
uniform,115,100,49,67,65,116,50,5,exchange
exponential,230,50,26,20,203,231,30,12,buy
uniform,117,100,39,76,62,118,50,10,exchange
uniform,116,100,19,33,63,117,50,9,exchange
uniform,118,100,18,48,63,119,50,11,exchange
uniform,117,100,39,76,62,118,50,10,exchange
exponential,240,50,24,34,211,241,30,13,buy
uniform,118,100,18,48,63,119,50,11,exchange
uniform,120,100,10,53,75,121,50,12,exchange
exponential,215,20,5,25,204,216,20,18,buy
uniform,121,100,7,61,76,122,50,13,exchange
uniform,120,100,10,53,75,121,50,12,exchange
exponential,824,200,0,9,709,825,10,4,exchange
uniform,121,100,7,61,76,122,50,13,exchange
exponential,255,50,10,41,224,256,30,14,buy
exponential,300,20,2,13,286,301,20,19,buy
uniform,123,100,2,57,65,124,50,14,exchange
exponential,824,200,0,9,709,825,10,4,exchange
exponential,136,50,19,33,113,137,50,9,exchange
uniform,123,100,2,57,65,124,50,14,exchange
uniform,124,100,26,52,73,125,50,16,exchange
exponential,136,50,19,33,113,137,50,9,exchange
uniform,125,100,24,72,69,126,50,17,exchange
uniform,124,100,26,52,73,125,50,16,exchange
uniform,126,100,48,74,76,127,50,20,exchange
exponential,271,50,17,37,245,272,30,15,buy
uniform,125,100,24,72,69,126,50,17,exchange
