time,sheets,id,friends,surplus,agents,full_agents,stage
159,37,1,10,133,10,10,buy
40,37,6,13,18,20,1,exchange
41,37,0,28,16,20,2,exchange
43,37,9,18,23,20,3,buy
44,37,3,30,25,20,5,exchange
45,37,10,16,23,20,6,exchange
46,37,16,7,24,20,9,exchange
50,37,7,13,31,20,10,exchange
53,37,15,20,34,20,13,buy
56,37,11,27,38,20,14,exchange
58,37,18,26,39,20,16,exchange
75,37,2,19,58,20,17,buy
116,37,19,13,90,20,18,buy
125,37,14,11,102,20,19,buy
185,37,17,13,164,20,20,buy
39,37,18,24,17,23,3,exchange
45,37,7,22,31,23,4,exchange
46,37,11,24,27,23,5,exchange
47,37,1,28,22,23,6,buy
48,37,14,27,32,23,7,exchange
49,37,6,10,30,23,9,exchange
54,37,15,25,37,23,10,exchange
55,37,19,13,36,23,11,exchange
56,37,13,13,36,23,12,exchange
59,37,20,31,40,23,13,buy
64,37,17,20,43,23,14,buy
65,37,9,19,47,23,15,exchange
78,37,21,14,53,23,17,buy
80,37,2,16,65,23,18,buy
95,37,16,24,76,23,19,buy
96,37,10,12,72,23,20,buy
123,37,3,11,105,23,21,buy
136,37,22,6,107,23,22,buy
150,37,0,23,131,23,23,buy
35,37,4,30,15,26,1,buy
43,37,20,36,23,26,4,exchange
44,37,6,22,19,26,5,buy
45,37,9,32,31,26,6,exchange
46,37,11,28,26,26,7,exchange
47,37,5,11,27,26,8,exchange
49,37,24,18,28,26,9,buy
51,37,1,33,31,26,10,exchange
52,37,25,15,31,26,16,exchange
58,37,22,27,36,26,17,exchange
59,37,23,34,40,26,18,exchange
63,37,15,23,39,26,19,exchange
65,37,3,28,43,26,20,buy
66,37,12,11,44,26,21,buy
72,37,13,32,51,26,22,buy
80,37,19,39,59,26,24,buy
82,37,17,17,60,26,25,buy
117,37,0,27,95,26,26,buy
40,37,1,27,24,30,1,exchange
41,37,29,26,23,30,3,exchange
42,37,11,31,24,30,4,exchange
43,37,18,35,23,30,5,buy
44,37,17,32,28,30,8,exchange
45,37,28,39,26,30,10,exchange
46,37,27,35,23,30,11,exchange
50,37,12,14,27,30,12,exchange
53,37,14,11,33,30,13,buy
54,37,26,32,36,30,15,exchange
55,37,8,38,37,30,16,buy
56,37,22,25,37,30,18,exchange
57,37,10,44,39,30,19,exchange
61,37,15,18,39,30,21,buy
65,37,25,29,46,30,24,exchange
74,37,20,21,50,30,25,buy
79,44,6,3,50,7,1,exchange
80,44,0,9,49,7,2,exchange
84,44,2,7,61,7,3,buy
51,44,0,9,24,10,1,exchange
54,44,3,10,33,10,2,exchange
62,44,2,11,36,10,3,exchange
88,44,1,10,63,10,4,exchange
99,44,5,14,69,10,5,buy
102,44,8,9,69,10,6,buy
144,44,7,5,113,10,7,buy
152,44,4,14,119,10,8,buy
170,44,6,6,139,10,9,buy
230,44,9,2,195,10,10,buy
48,44,1,19,28,17,2,exchange
57,44,2,22,32,17,3,buy
59,44,6,14,36,17,4,exchange
60,44,14,19,37,17,5,exchange
62,44,0,18,36,17,6,exchange
63,44,12,18,40,17,7,buy
65,44,3,24,45,17,8,exchange
68,44,9,18,45,17,9,buy
85,44,5,13,54,17,10,buy
88,44,11,12,60,17,12,exchange
104,44,10,7,76,17,13,buy
113,44,16,7,89,17,14,buy
134,44,15,16,112,17,16,exchange
154,44,13,15,130,17,17,buy
46,44,15,20,22,20,1,exchange
50,44,14,11,26,20,2,exchange
53,44,5,16,29,20,4,exchange
54,44,0,28,28,20,5,exchange
55,44,11,27,36,20,7,exchange
64,44,3,30,44,20,8,exchange
65,44,18,26,44,20,10,exchange
67,44,12,17,42,20,12,exchange
69,44,6,13,46,20,14,exchange
82,44,19,13,52,20,15,buy
95,44,13,23,72,20,17,exchange
109,44,2,19,83,20,18,buy
126,44,17,13,100,20,20,buy
46,44,5,25,27,23,2,exchange
50,44,16,24,26,23,3,buy
54,44,3,11,27,23,5,exchange
55,44,7,22,33,23,7,exchange
57,44,8,31,34,23,8,buy
60,44,18,24,36,23,9,buy
63,44,13,13,35,23,10,buy
65,44,20,31,47,23,11,exchange
66,44,17,20,42,23,12,exchange
67,44,14,27,39,23,13,buy
69,44,12,19,48,23,14,buy
77,44,6,10,49,23,15,exchange
79,44,15,25,53,23,17,exchange
83,44,4,23,60,23,19,buy
98,44,19,13,67,23,20,buy
113,44,9,19,90,23,21,buy
139,44,21,14,111,23,22,buy
212,44,22,6,179,23,23,buy
46,44,15,23,20,26,1,exchange
48,44,2,37,21,26,2,buy
51,44,4,30,27,26,3,exchange
53,44,9,32,27,26,5,exchange
54,44,18,25,32,26,6,exchange
55,44,6,22,31,26,7,exchange
56,44,22,27,31,26,8,exchange
57,44,10,18,32,26,9,buy
58,44,1,33,39,26,10,exchange
60,44,16,21,39,26,11,exchange
61,44,13,32,40,26,13,exchange
62,44,8,27,43,26,14,exchange
63,44,24,18,40,26,16,exchange
67,44,19,39,42,26,19,exchange
71,44,14,23,47,26,20,exchange
79,44,21,35,59,26,21,buy
85,44,12,11,56,26,22,buy
96,44,25,15,70,26,24,exchange
119,44,20,36,97,26,26,exchange
48,44,11,31,22,30,2,exchange
49,44,8,38,28,30,3,exchange
50,44,26,32,27,30,4,exchange
51,44,16,18,27,30,6,exchange
52,44,1,27,33,30,7,exchange
53,44,17,32,29,30,8,exchange
55,44,29,26,31,30,13,exchange
56,44,5,14,30,30,14,exchange
57,44,12,14,26,30,15,buy
59,44,2,13,31,30,16,buy
62,44,22,25,38,30,18,exchange
66,44,27,35,43,30,20,exchange
68,44,13,20,36,30,21,buy
71,44,24,21,50,30,23,exchange
73,44,7,30,48,30,24,buy
79,44,28,39,55,30,26,exchange
98,44,23,29,76,30,27,buy
117,44,9,30,93,30,28,buy
162,44,14,11,139,30,29,buy
184,44,19,21,160,30,30,buy
83,51,3,12,49,7,1,exchange
84,51,2,7,54,7,3,buy
94,51,6,3,58,7,4,buy
187,51,4,2,143,7,5,buy
205,51,0,9,168,7,6,buy
394,51,5,6,350,7,7,buy
65,51,0,9,39,10,1,exchange
66,51,2,11,41,10,2,exchange
70,51,3,10,47,10,3,exchange
74,51,9,2,36,10,4,buy
92,51,7,5,55,10,5,buy
101,51,5,14,70,10,6,exchange
151,51,1,10,119,10,7,buy
164,51,4,14,125,10,8,buy
226,51,8,9,189,10,9,buy
251,51,6,6,223,10,10,buy
54,51,2,22,30,17,1,exchange
62,51,0,18,35,17,2,exchange
63,51,11,12,35,17,3,buy
68,51,14,19,42,17,4,buy
69,51,6,14,37,17,5,buy
76,51,16,7,43,17,6,buy
77,51,13,15,48,17,8,exchange
78,51,15,16,51,17,10,exchange
87,51,12,18,59,17,12,exchange
138,51,3,24,108,17,13,buy
150,51,5,13,115,17,14,buy
184,51,8,13,149,17,15,buy
197,51,7,19,166,17,16,buy
242,51,10,7,209,17,17,buy
54,51,2,19,29,20,1,exchange
56,51,8,25,30,20,2,exchange
59,51,11,27,35,20,4,exchange
61,51,4,24,30,20,5,exchange
