distribution,time,sheets,id,friends,surplus,agents,full_agents,stage
uniform,723,400,13,15,496,30,17,buy
uniform,726,400,18,27,525,30,18,exchange
exponential,3837,400,9,9,3612,10,7,buy
exponential,490,100,12,14,429,20,10,buy
uniform,2082,700,1,12,1691,10,7,buy
exponential,496,100,6,11,437,20,11,exchange
exponential,525,100,15,16,470,20,13,exchange
uniform,1066,700,5,25,725,20,4,exchange
exponential,694,100,3,29,642,20,14,buy
exponential,712,100,10,4,640,20,15,buy
exponential,1074,200,15,30,978,30,13,exchange
exponential,1080,200,16,29,970,30,15,exchange
exponential,753,100,11,19,706,20,16,buy
uniform,827,400,20,29,617,30,19,exchange
exponential,946,100,17,9,885,20,17,buy
exponential,960,100,16,13,895,20,18,buy
uniform,869,400,14,17,649,30,20,exchange
exponential,1171,200,18,27,1056,30,16,exchange
exponential,5176,400,1,12,4967,10,8,buy
exponential,1191,200,3,41,1093,30,17,buy
exponential,7756,400,4,2,7446,10,10,buy
exponential,1195,200,12,11,1083,30,18,buy
exponential,1156,100,9,11,1094,20,19,buy
uniform,902,400,29,14,676,30,21,buy
uniform,1197,700,3,29,859,20,5,exchange
exponential,18145,700,1,2,17446,5,5,buy
exponential,1265,200,27,35,1164,30,20,exchange
exponential,1266,200,21,22,1150,30,21,buy
uniform,966,400,24,34,752,30,22,exchange
exponential,1303,200,4,28,1194,30,22,buy
uniform,1259,700,18,22,893,20,6,exchange
exponential,6140,400,4,2,5847,10,9,buy
uniform,1007,400,23,18,788,30,23,buy
uniform,2854,700,4,2,2369,10,8,buy
uniform,1032,400,12,11,808,30,24,buy
exponential,6661,400,6,1,6331,10,10,buy
uniform,1038,400,21,22,818,30,25,buy
exponential,1794,100,2,13,1734,20,20,buy
uniform,1334,700,6,11,968,20,7,exchange
uniform,1073,400,26,20,871,30,27,exchange
uniform,3086,700,7,9,2670,10,9,buy
uniform,3151,700,6,1,2585,10,10,buy
uniform,1408,700,12,14,1027,20,8,exchange
exponential,1107,400,5,25,903,20,1,buy
uniform,1427,700,7,17,1080,20,9,exchange
uniform,1510,700,15,16,1118,20,10,exchange
exponential,8411,700,1,2,7712,2,1,buy
exponential,1820,200,24,34,1708,30,23,buy
exponential,8634,700,0,0,7935,2,2,buy
uniform,1599,700,13,23,1225,20,12,exchange
uniform,1429,400,6,14,1202,30,28,buy
exponential,1977,200,26,20,1864,30,24,buy
uniform,1468,400,2,15,1249,30,29,buy
exponential,2182,200,23,18,2070,30,25,buy
exponential,2183,200,10,41,2088,30,26,buy
exponential,1286,400,6,11,1054,20,2,exchange
exponential,2412,200,20,29,2307,30,27,buy
exponential,2479,200,13,15,2367,30,28,buy
uniform,1948,700,8,22,1588,20,13,buy
uniform,1956,700,11,19,1574,20,14,buy
uniform,1971,700,16,13,1610,20,15,exchange
uniform,2010,700,4,6,1617,20,16,buy
exponential,2422,700,5,14,2034,10,1,buy
exponential,1431,400,13,23,1210,20,3,buy
uniform,2085,400,22,17,1851,30,30,buy
exponential,3290,200,22,17,3170,30,29,buy
exponential,3130,700,0,9,2761,10,2,exchange
uniform,565,400,0,26,371,20,1,buy
uniform,568,400,5,25,355,20,2,exchange
uniform,575,400,1,24,384,20,3,exchange
uniform,597,400,18,22,396,20,4,exchange
uniform,642,400,14,21,434,20,5,exchange
uniform,655,400,13,23,427,20,6,exchange
uniform,662,400,8,22,480,20,7,exchange
uniform,667,400,11,19,440,20,9,exchange
uniform,740,400,7,17,523,20,11,exchange
exponential,1641,400,11,19,1411,20,4,exchange
uniform,808,400,16,13,585,20,12,buy
uniform,942,400,12,14,713,20,13,buy
uniform,969,400,6,11,762,20,14,exchange
uniform,3239,700,17,9,2797,20,17,buy
uniform,1144,400,15,16,904,20,15,exchange
uniform,3305,700,9,11,2922,20,18,buy
exponential,1059,400,3,41,867,30,1,exchange
uniform,1489,400,19,13,1256,20,16,buy
exponential,1787,400,3,29,1586,20,6,exchange
uniform,1648,400,10,4,1389,20,17,buy
exponential,1065,400,3,41,856,30,1,exchange
exponential,4562,700,1,12,4161,10,3,buy
exponential,4565,700,7,9,4153,10,4,buy
exponential,1835,400,14,21,1640,20,7,buy
exponential,1147,400,8,39,949,30,2,exchange
uniform,1988,400,9,11,1748,20,18,buy
exponential,1103,400,5,26,930,30,2,exchange
uniform,3788,700,10,4,3330,20,19,buy
exponential,1909,400,1,24,1704,20,8,buy
exponential,1947,400,9,11,1709,20,9,buy
exponential,1210,400,28,28,995,30,3,exchange
exponential,1218,400,0,30,1003,30,4,exchange
uniform,2536,400,17,9,2275,20,19,buy
exponential,1185,400,4,28,978,30,3,buy
uniform,901,700,5,26,538,30,1,exchange
exponential,5485,700,9,9,5080,10,5,buy
exponential,1258,400,19,48,1056,30,5,buy
uniform,2746,400,4,6,2518,20,20,buy
exponential,1219,400,8,39,1026,30,4,exchange
uniform,943,700,17,37,560,30,2,exchange
exponential,2137,400,12,14,1911,20,11,exchange
uniform,946,700,7,30,581,30,3,exchange
exponential,5931,700,6,1,5381,10,6,buy
uniform,963,700,10,41,617,30,4,buy
uniform,965,700,16,29,603,30,5,exchange
exponential,6161,700,8,9,5770,10,8,exchange
exponential,1284,400,10,41,1086,30,5,exchange
uniform,988,700,9,34,638,30,6,exchange
uniform,989,700,28,28,617,30,7,exchange
exponential,2338,400,7,17,2127,20,12,exchange
uniform,995,700,1,23,643,30,8,exchange
