,time,radio,reward,power
0,0,0.4829170663092933,1.0,11
1,1,1.063570885963297,1.0,15
2,2,0.8329093537309433,1.0,11
3,3,1.4449885560914166,1.0,11
4,4,1.4683961841664839,1.0,11
5,5,1.4386522412245797,1.0,11
6,6,1.7338677357574612,1.0,11
7,7,1.7158738509676021,1.0,11
8,8,1.5974995148208226,0.0,11
9,9,2.0985405969731117,1.0,11
10,10,2.7192791286268627,1.0,13
11,11,2.6864552915039845,1.0,23
12,12,2.6103298057732123,0.0,22
13,13,2.612622004961955,1.0,28
14,14,2.6716144379679796,1.0,49
15,15,2.5537412844396856,1.0,34
16,16,2.6048455810270035,1.0,18
17,17,2.3842811589428887,1.0,27
18,18,2.271428400279621,1.0,24
19,19,2.251116217051489,1.0,16
20,20,2.449706984318073,1.0,22
21,21,2.7813720479988664,1.0,25
22,22,2.783881290581278,1.0,18
23,23,2.739352172184421,1.0,16
24,24,2.9032120664187926,1.0,22
25,25,2.8301942564379177,1.0,21
26,26,2.815087322233991,0.0,27
27,27,2.6758455044536387,1.0,18
28,28,2.9627506575197367,1.0,29
29,29,2.8002976772989734,1.0,29
30,30,2.8899409719794575,1.0,30
31,31,2.90801789256251,1.0,24
32,32,3.296098835732163,1.0,21
33,33,2.7456956121469154,1.0,19
34,34,3.0531036560713356,1.0,30
35,35,3.1672223211441684,1.0,29
36,36,3.504628656082555,1.0,28
37,37,3.5743912533071844,1.0,22
38,38,3.220821883199723,1.0,19
39,39,3.3421059801999977,1.0,26
40,40,3.6791046295659777,1.0,40
41,41,3.4440453795698023,1.0,23
42,42,3.412285823974786,1.0,18
43,43,3.632713726209715,1.0,26
44,44,3.5190010606490527,1.0,17
45,45,3.277266753731494,1.0,18
46,46,3.186817223271417,1.0,28
47,47,3.010180161583872,1.0,26
48,48,3.2478415283441358,1.0,20
49,49,3.363865687405706,1.0,19
0,0,0.5054771226817998,1.0,11
1,1,1.0940589015645195,1.0,11
2,2,1.567002712792586,1.0,11
3,3,1.5391069143842775,1.0,11
4,4,1.6894195680872377,1.0,33
5,5,2.1170509317585062,1.0,22
6,6,2.112266569760358,1.0,13
7,7,2.0425126640343634,1.0,20
8,8,2.3741524452154734,1.0,22
9,9,2.5143124322856463,1.0,28
10,10,2.723878078915766,1.0,24
11,11,2.536507405778338,1.0,31
12,12,2.322898471821205,0.0,15
13,13,2.3435829100808827,1.0,33
14,14,2.7493413361947363,1.0,35
15,15,2.7986411890552807,1.0,34
16,16,3.003330397127068,1.0,29
17,17,2.7107564536774214,1.0,31
18,18,2.675663235800549,0.0,24
19,19,2.56592867061685,1.0,28
20,20,2.871745993544913,1.0,27
21,21,2.569811821998262,1.0,35
22,22,2.646750616294253,1.0,32
23,23,2.6238652086182603,0.0,31
24,24,2.555941890289319,0.0,33
25,25,2.779911524977893,1.0,24
26,26,2.854555607920228,1.0,33
27,27,2.599980088917839,1.0,29
28,28,2.540109598695358,1.0,35
29,29,2.890154968915428,1.0,33
30,30,2.9658508777258574,1.0,31
31,31,3.080659665974631,1.0,29
32,32,2.991219914027615,1.0,30
33,33,2.9322370164084433,1.0,26
34,34,2.9724257883679273,0.0,32
35,35,2.8938081932941806,0.0,26
36,36,2.8082124943045517,1.0,30
37,37,2.733280633009538,1.0,31
38,38,2.93149240168541,1.0,26
39,39,2.9112302642831174,0.0,24
40,40,2.9441740184033556,1.0,36
41,41,2.83797402503286,0.0,21
42,42,2.9035821592825966,1.0,21
43,43,3.1322084656963933,1.0,33
44,44,3.0954729275801074,1.0,32
45,45,3.5454531068033774,1.0,31
46,46,3.698425124462997,0.0,27
47,47,3.322610105393232,1.0,28
48,48,3.6969303813648593,0.0,30
49,49,3.5160397180832215,0.0,21
0,0,0.4459575626101026,1.0,11
1,1,0.9522811522975241,1.0,13
2,2,0.9749816201440447,1.0,11
3,3,1.6477475942741382,1.0,12
4,4,1.4216819721320417,1.0,14
5,5,1.7087576192889005,1.0,12
6,6,1.8381969957991957,1.0,11
7,7,2.2198173541330157,1.0,15
8,8,2.3593766451210887,1.0,30
9,9,2.310293886268142,1.0,25
10,10,2.3375820372430773,1.0,33
11,11,2.4842499622712917,1.0,28
12,12,2.376045758116131,1.0,27
13,13,2.8012386526215765,1.0,31
14,14,2.732307495631441,1.0,20
15,15,2.774811449858712,1.0,22
16,16,2.700926571320768,1.0,23
17,17,2.446886009901437,1.0,30
18,18,2.6863202447859846,1.0,30
19,19,3.351833288624908,1.0,25
20,20,3.014929490590396,1.0,21
21,21,2.949376979901192,1.0,14
22,22,3.276320606671327,1.0,14
23,23,3.267061953671736,1.0,15
24,24,3.3032452126086076,1.0,24
25,25,3.1013023887256947,1.0,26
26,26,3.208960447372798,1.0,28
27,27,3.431091913506791,1.0,26
28,28,3.1926947295809067,1.0,24
29,29,3.331915165791015,1.0,20
30,30,3.274171305511411,1.0,18
31,31,3.111702584320487,1.0,24
32,32,2.942757291877599,0.0,22
33,33,2.865309796304161,0.0,24
34,34,3.3009721429461214,1.0,29
35,35,3.269760983589279,1.0,30
36,36,3.654390714229724,1.0,28
37,37,3.6044188796792764,1.0,30
38,38,3.3437491943254223,1.0,25
39,39,3.3510649501868666,1.0,28
40,40,3.3258010768438035,1.0,21
41,41,3.2928106636627534,1.0,29
42,42,3.3981699614550633,1.0,28
43,43,2.9996460480249576,1.0,20
44,44,3.0123906824130073,1.0,21
45,45,2.989667464083227,1.0,22
46,46,2.850268743573935,1.0,20
47,47,2.7164233271254354,1.0,17
48,48,2.8385959077267353,1.0,29
49,49,2.831370918733474,1.0,20
0,0,0.416536301870117,1.0,11
1,1,1.0318487262828737,1.0,11
2,2,1.0376150759457272,1.0,11
3,3,1.3505288552405712,1.0,24
4,4,1.5549263737452172,1.0,27
5,5,1.6390312116994836,1.0,25
6,6,2.325368743363893,1.0,23
7,7,2.845742901268239,1.0,29
8,8,2.5217839378440545,1.0,21
9,9,2.111046391021562,1.0,23
10,10,2.3847076780026017,1.0,20
11,11,2.461150750464248,1.0,24
12,12,2.383561018216192,1.0,20
13,13,2.836554555599367,1.0,16
14,14,3.086673794355348,1.0,18
15,15,3.2208536305078055,0.0,11
16,16,3.2214713818121052,1.0,15
17,17,2.8129579037304935,1.0,14
18,18,2.857794097752615,0.0,16
19,19,2.6200664955212583,1.0,16
20,20,3.010730446441589,0.0,14
21,21,2.908923774692048,1.0,13
22,22,2.550980413715051,1.0,17
23,23,2.793084912831511,1.0,14
24,24,2.82955942910553,1.0,22
25,25,2.9488788013155944,1.0,22
26,26,3.1222740420809525,1.0,21
27,27,3.35964199372263,1.0,32
28,28,3.4985009631561415,0.0,21
29,29,3.7717178573136607,1.0,21
30,30,3.4919171410777166,1.0,20
31,31,3.42249598727433,1.0,26
32,32,3.482164816841525,1.0,12
33,33,3.2390994932393222,1.0,13
34,34,3.40842167919132,1.0,11
35,35,3.621621561192317,0.0,13
36,36,3.430397221595516,1.0,13
37,37,3.3201925768349776,1.0,28
38,38,3.446233920936061,1.0,24
39,39,3.535319568398813,1.0,25
40,40,3.718708545948973,1.0,20
41,41,3.7734709180819657,1.0,26
42,42,3.429030709476334,1.0,20
43,43,3.4270653768073274,1.0,31
44,44,3.3124684680428165,1.0,21
45,45,3.3584114673411003,1.0,19
46,46,3.364387585193526,1.0,29
47,47,3.4996870750914124,1.0,25
48,48,3.136285501135735,1.0,25
49,49,3.251475928889069,1.0,18
0,0,0.49270095827686244,1.0,11
1,1,0.7083978369390705,1.0,11
2,2,1.2292987890522755,1.0,13
3,3,1.2596708284890366,1.0,11
4,4,1.7109938772688038,1.0,11
5,5,2.1070853205494413,1.0,11
6,6,2.1514780004521916,0.0,10
7,7,2.0647819456531296,1.0,11
8,8,2.022274725844796,1.0,13
9,9,2.573570107360119,1.0,11
10,10,2.7107541823140875,1.0,18
11,11,2.6829927294826246,1.0,19
12,12,2.757641128209761,0.0,22
13,13,2.9633189621259173,1.0,24
14,14,2.837272774393753,0.0,14
15,15,2.6857178474055687,1.0,13
16,16,2.9234790627727336,1.0,27
17,17,2.910478284856274,1.0,13
18,18,2.979125726018418,1.0,15
19,19,2.851450750191536,1.0,18
20,20,3.21444571767025,0.0,11
21,21,3.0406195985787647,1.0,11
22,22,2.998116176120703,1.0,13
23,23,3.1172796348203056,1.0,17
24,24,3.1052708219339125,1.0,15
25,25,3.169132257509698,1.0,11
26,26,3.2047587670629136,1.0,11
27,27,3.546578956283777,1.0,11
28,28,3.393072066652027,1.0,15
29,29,3.2755164430843267,1.0,11
30,30,2.980644755851441,1.0,13
31,31,3.417895739158499,1.0,11
32,32,3.3634700941347773,1.0,11
33,33,3.2842030105347915,1.0,11
34,34,3.137621001401733,1.0,12
35,35,3.1074078672297842,1.0,13
36,36,3.066955753723369,1.0,30
37,37,3.3154379051829315,1.0,11
38,38,3.6214357266781763,1.0,15
39,39,3.5695613419798122,1.0,23
40,40,3.53533373915972,0.0,10
41,41,3.602094632523707,1.0,19
42,42,3.2243860923986207,1.0,13
43,43,3.251761184288995,1.0,11
44,44,3.248473031785126,0.0,11
45,45,3.591196288492648,1.0,11
46,46,3.2215193330695295,0.0,10
47,47,2.9600006731584645,1.0,11
48,48,3.014848887508883,1.0,11
